group	x	y	showSelected1
1	-4	-55	-4
1	-3.25531877358935	-55	-4
1	-2.70741947345964	-55	-4
1	-2.33100356589959	-33.8832065627563	-4
1	-2.10834137623207	-7.83326898053705	-4
1	-2.01654096432056	-1.02200142248616	-4
1	-2.00046880793639	-0.0281519988174606	-4
1	-2.00000039065585	-2.34393673762481e-05	-4
1	-1.99999999999958	2.54729570769803e-11	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
1	-2	0	-4
2	-2.85714285714286	-55	-2.85714285714286
2	-2.42997492176518	-50.7296169934325	-2.85714285714286
2	-2.16162453426182	-12.7506598644261	-2.85714285714286
2	-2.03339233520667	-2.12506326808389	-2.85714285714286
2	-2.00183752858951	-0.110613368291215	-2.85714285714286
2	-2.00000599105454	-0.000359467112909961	-2.85714285714286
2	-2.00000000005333	-3.19949400337422e-09	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
2	-2	0	-2.85714285714286
3	-1.71428571428571	9.6995299577557	-1.71428571428571
3	-2.51414460916533	-55	-1.71428571428571
3	-2.21045684364049	-17.9425523747181	-1.71428571428571
3	-2.05219398575297	-3.43161577167542	-1.71428571428571
3	-2.00430586070022	-0.260340183294791	-1.71428571428571
3	-2.00003270920629	-0.00196266685793786	-1.71428571428571
3	-2.0000000018495	-1.10970033528526e-07	-1.71428571428571
3	-2	1.99840144432527e-13	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
3	-2	0	-1.71428571428571
4	-0.571428571428572	-8.83560421253049	-0.571428571428572
4	-1.1501058138468	3.58596889024851	-0.571428571428572
4	-0.996468906949423	-0.0847205487472994	-0.571428571428572
4	-1.00000110226743	2.64544208085273e-05	-0.571428571428572
4	-1.00000000000001	2.23820961764432e-13	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
4	-1	0	-0.571428571428572
5	0.571428571428571	-6.00821086452074	0.571428571428571
5	0.984678023910837	-0.185716528071049	0.571428571428571
5	0.999850713024954	-0.0017916219700715	0.571428571428571
5	0.999999985248555	-1.77017338529606e-07	0.571428571428571
5	1.00000000000001	1.17239551400416e-13	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
5	1	0	0.571428571428571
6	1.71428571428571	2.64532635211519	1.71428571428571
6	2.16068818747636	-2.05858913023458	1.71428571428571
6	2.00565111648521	-0.0680349513407963	1.71428571428571
6	2.00001818110731	-0.000218175601526532	1.71428571428571
6	2.00000000020341	-2.44097009301046e-09	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
6	2	0	1.71428571428571
7	2.85714285714286	-4.26036770393289	2.85714285714286
7	3.06419317297806	2.90231304629841	2.85714285714286
7	3.0068723155899	0.278592394623436	2.85714285714286
7	3.00009046619683	0.00361928627175389	2.85714285714286
7	3.0000000161316	6.45264075818839e-07	2.85714285714286
7	3.00000000000003	1.27897692436826e-12	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
7	3	0	2.85714285714286
8	4	55	4
8	3.54545489791422	54.0872770151006	4
8	3.23997885226973	14.8089543092501	4
8	3.06894016998525	3.14464879310225	4
8	3.00784254681547	0.318522985850651	4
8	3.00011751533579	0.004701690679887	4
8	3.00000002714992	1.08599671898255e-06	4
8	3.00000000000005	2.16715534406853e-12	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
8	3	0	4
